EVENT,BOUT,ROUND,FIGHTER,SIG.STR. LANDED,SIG.STR. ATTEMPTED,SIG.STR. %,TOTAL STR. LANDED,TOTAL STR. ATTEMPTED,TD LANDED,TD ATTEMPTED,TD %
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 1,Max Holloway,8,13,61.0,11,16,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 2,Max Holloway,5,7,71.0,16,18,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 3,Max Holloway,2,5,40.0,10,13,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 4,Max Holloway,6,11,54.0,8,13,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 5,Max Holloway,5,9,55.0,28,32,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 1,Charles Oliveira,10,14,71.0,19,25,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 2,Charles Oliveira,13,15,86.0,24,26,1,2,50.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 3,Charles Oliveira,9,14,64.0,18,23,1,4,25.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 4,Charles Oliveira,9,11,81.0,25,36,1,3,33.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 5,Charles Oliveira,9,12,75.0,24,27,1,3,33.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 1,Caio Borralho,24,42,57.0,24,42,0,0,
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 2,Caio Borralho,14,25,56.0,22,33,0,0,
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 3,Caio Borralho,19,31,61.0,25,37,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 1,Reinier de Ridder,19,51,37.0,30,62,2,5,40.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 2,Reinier de Ridder,17,43,39.0,23,50,0,3,0.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 3,Reinier de Ridder,19,47,40.0,58,87,0,0,
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 1,Rob Font,7,20,35.0,8,21,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 2,Rob Font,0,2,0.0,8,10,0,0,
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 3,Rob Font,3,9,33.0,13,19,0,0,
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 1,Raul Rosas Jr.,5,22,22.0,12,29,5,6,83.0
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 2,Raul Rosas Jr.,1,5,20.0,17,23,3,3,100.0
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 3,Raul Rosas Jr.,2,6,33.0,18,23,8,9,88.0
UFC 326: Holloway vs. Oliveira 2,Drew Dober vs. Michael Johnson,Round 1,Drew Dober,11,29,37.0,11,29,0,0,
UFC 326: Holloway vs. Oliveira 2,Drew Dober vs. Michael Johnson,Round 2,Drew Dober,11,26,42.0,11,26,0,0,
UFC 326: Holloway vs. Oliveira 2,Drew Dober vs. Michael Johnson,Round 1,Michael Johnson,18,51,35.0,18,51,0,0,
UFC 326: Holloway vs. Oliveira 2,Drew Dober vs. Michael Johnson,Round 2,Michael Johnson,9,25,36.0,9,25,0,0,
UFC 326: Holloway vs. Oliveira 2,Gregory Rodrigues vs. Brunno Ferreira,Round 1,Gregory Rodrigues,2,6,33.0,2,6,0,0,
UFC 326: Holloway vs. Oliveira 2,Gregory Rodrigues vs. Brunno Ferreira,Round 1,Brunno Ferreira,2,5,40.0,2,5,0,0,
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt vs. Xiao Long,Round 1,Cody Garbrandt,10,20,50.0,10,20,0,2,0.0
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt vs. Xiao Long,Round 2,Cody Garbrandt,7,15,46.0,7,15,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt vs. Xiao Long,Round 3,Cody Garbrandt,11,19,57.0,11,19,0,5,0.0
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt vs. Xiao Long,Round 1,Xiao Long,20,31,64.0,20,31,0,0,
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt vs. Xiao Long,Round 2,Xiao Long,21,41,51.0,22,42,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt vs. Xiao Long,Round 3,Xiao Long,18,36,50.0,28,46,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Donte Johnson vs. Cody Brundage,Round 1,Donte Johnson,10,25,40.0,29,44,0,0,
UFC 326: Holloway vs. Oliveira 2,Donte Johnson vs. Cody Brundage,Round 2,Donte Johnson,13,30,43.0,28,46,0,0,
UFC 326: Holloway vs. Oliveira 2,Donte Johnson vs. Cody Brundage,Round 3,Donte Johnson,22,51,43.0,27,56,0,0,
UFC 326: Holloway vs. Oliveira 2,Donte Johnson vs. Cody Brundage,Round 1,Cody Brundage,5,20,25.0,6,23,1,2,50.0
UFC 326: Holloway vs. Oliveira 2,Donte Johnson vs. Cody Brundage,Round 2,Cody Brundage,6,14,42.0,8,16,1,2,50.0
UFC 326: Holloway vs. Oliveira 2,Donte Johnson vs. Cody Brundage,Round 3,Cody Brundage,20,49,40.0,20,49,0,3,0.0
UFC 326: Holloway vs. Oliveira 2,Ricky Turcios vs. Alberto Montes,Round 1,Ricky Turcios,19,53,35.0,33,67,0,2,0.0
UFC 326: Holloway vs. Oliveira 2,Ricky Turcios vs. Alberto Montes,Round 2,Ricky Turcios,3,7,42.0,3,7,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Ricky Turcios vs. Alberto Montes,Round 1,Alberto Montes,26,47,55.0,33,54,0,0,
UFC 326: Holloway vs. Oliveira 2,Ricky Turcios vs. Alberto Montes,Round 2,Alberto Montes,6,11,54.0,6,11,0,0,
UFC 326: Holloway vs. Oliveira 2,Cody Durden vs. Nyamjargal Tumendemberel,Round 1,Cody Durden,4,8,50.0,21,25,3,6,50.0
UFC 326: Holloway vs. Oliveira 2,Cody Durden vs. Nyamjargal Tumendemberel,Round 2,Cody Durden,4,11,36.0,8,15,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Cody Durden vs. Nyamjargal Tumendemberel,Round 3,Cody Durden,0,2,0.0,25,29,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Cody Durden vs. Nyamjargal Tumendemberel,Round 1,Nyamjargal Tumendemberel,9,13,69.0,15,19,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Cody Durden vs. Nyamjargal Tumendemberel,Round 2,Nyamjargal Tumendemberel,12,22,54.0,20,30,2,2,100.0
UFC 326: Holloway vs. Oliveira 2,Cody Durden vs. Nyamjargal Tumendemberel,Round 3,Nyamjargal Tumendemberel,4,7,57.0,8,11,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Sumudaerji vs. Jesus Aguilar,Round 1,Sumudaerji,16,44,36.0,19,47,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Sumudaerji vs. Jesus Aguilar,Round 2,Sumudaerji,17,47,36.0,19,50,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Sumudaerji vs. Jesus Aguilar,Round 3,Sumudaerji,29,57,50.0,31,59,2,3,66.0
UFC 326: Holloway vs. Oliveira 2,Sumudaerji vs. Jesus Aguilar,Round 1,Jesus Aguilar,13,35,37.0,16,38,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Sumudaerji vs. Jesus Aguilar,Round 2,Jesus Aguilar,6,27,22.0,10,34,0,2,0.0
UFC 326: Holloway vs. Oliveira 2,Sumudaerji vs. Jesus Aguilar,Round 3,Jesus Aguilar,12,44,27.0,16,48,1,2,50.0
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias vs. Diyar Nurgozhay,Round 1,Rafael Tobias,10,38,26.0,10,38,0,0,
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias vs. Diyar Nurgozhay,Round 2,Rafael Tobias,16,34,47.0,28,46,1,6,16.0
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias vs. Diyar Nurgozhay,Round 3,Rafael Tobias,13,29,44.0,14,30,1,2,50.0
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias vs. Diyar Nurgozhay,Round 1,Diyar Nurgozhay,36,57,63.0,36,58,0,0,
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias vs. Diyar Nurgozhay,Round 2,Diyar Nurgozhay,27,46,58.0,32,51,0,0,
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias vs. Diyar Nurgozhay,Round 3,Diyar Nurgozhay,31,40,77.0,32,41,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 1,Brandon Moreno,19,40,47.0,19,40,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 2,Brandon Moreno,24,54,44.0,24,54,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 3,Brandon Moreno,16,40,40.0,31,56,0,3,0.0
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 4,Brandon Moreno,9,15,60.0,31,42,0,2,0.0
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 5,Brandon Moreno,11,19,57.0,29,37,0,2,0.0
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 1,Lone'er Kavanagh,18,45,40.0,18,45,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 2,Lone'er Kavanagh,42,83,50.0,42,83,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 3,Lone'er Kavanagh,17,44,38.0,20,47,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 4,Lone'er Kavanagh,8,14,57.0,29,35,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno vs. Lone'er Kavanagh,Round 5,Lone'er Kavanagh,12,19,63.0,27,35,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera vs. David Martinez,Round 1,Marlon Vera,5,39,12.0,13,48,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera vs. David Martinez,Round 2,Marlon Vera,13,40,32.0,14,41,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera vs. David Martinez,Round 3,Marlon Vera,24,66,36.0,25,67,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera vs. David Martinez,Round 1,David Martinez,19,41,46.0,26,51,1,1,100.0
UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera vs. David Martinez,Round 2,David Martinez,21,43,48.0,29,51,1,2,50.0
UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera vs. David Martinez,Round 3,David Martinez,31,71,43.0,31,71,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber vs. King Green,Round 1,Daniel Zellhuber,11,46,23.0,11,46,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber vs. King Green,Round 2,Daniel Zellhuber,6,32,18.0,6,32,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber vs. King Green,Round 1,King Green,41,64,64.0,41,64,2,2,100.0
UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber vs. King Green,Round 2,King Green,45,70,64.0,59,84,1,1,100.0
UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez vs. Felipe Bunes,Round 1,Edgar Chairez,4,9,44.0,6,11,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez vs. Felipe Bunes,Round 2,Edgar Chairez,21,52,40.0,21,52,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez vs. Felipe Bunes,Round 3,Edgar Chairez,41,75,54.0,42,76,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez vs. Felipe Bunes,Round 1,Felipe Bunes,5,13,38.0,64,81,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez vs. Felipe Bunes,Round 2,Felipe Bunes,20,53,37.0,20,53,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez vs. Felipe Bunes,Round 3,Felipe Bunes,29,66,43.0,29,68,1,1,100.0
UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna vs. Angel Pacheco,Round 1,Santiago Luna,26,56,46.0,31,61,2,2,100.0
UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna vs. Angel Pacheco,Round 2,Santiago Luna,56,92,60.0,63,103,2,2,100.0
UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna vs. Angel Pacheco,Round 3,Santiago Luna,49,79,62.0,61,93,1,1,100.0
UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna vs. Angel Pacheco,Round 1,Angel Pacheco,25,74,33.0,26,75,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna vs. Angel Pacheco,Round 2,Angel Pacheco,14,68,20.0,23,77,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna vs. Angel Pacheco,Round 3,Angel Pacheco,17,74,22.0,28,86,1,1,100.0
UFC Fight Night: Moreno vs. Kavanagh,Ryan Gandra vs. Jose Daniel Medina,Round 1,Ryan Gandra,14,29,48.0,14,29,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Ryan Gandra vs. Jose Daniel Medina,Round 1,Jose Daniel Medina,0,3,0.0,0,3,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez vs. Macy Chiasson,Round 1,Ailin Perez,6,7,85.0,10,11,2,2,100.0
UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez vs. Macy Chiasson,Round 2,Ailin Perez,13,20,65.0,25,35,3,5,60.0
UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez vs. Macy Chiasson,Round 3,Ailin Perez,8,11,72.0,33,37,1,3,33.0
UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez vs. Macy Chiasson,Round 1,Macy Chiasson,4,5,80.0,24,41,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez vs. Macy Chiasson,Round 2,Macy Chiasson,1,14,7.0,13,28,0,2,0.0
UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez vs. Macy Chiasson,Round 3,Macy Chiasson,3,4,75.0,4,5,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez vs. Kris Moutinho,Round 1,Cristian Quinonez,23,37,62.0,24,40,2,3,66.0
UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez vs. Kris Moutinho,Round 2,Cristian Quinonez,8,11,72.0,20,23,4,5,80.0
UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez vs. Kris Moutinho,Round 3,Cristian Quinonez,7,13,53.0,10,17,1,2,50.0
UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez vs. Kris Moutinho,Round 1,Kris Moutinho,16,39,41.0,16,39,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez vs. Kris Moutinho,Round 2,Kris Moutinho,7,14,50.0,7,14,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez vs. Kris Moutinho,Round 3,Kris Moutinho,5,18,27.0,9,22,0,1,0.0
UFC Fight Night: Moreno vs. Kavanagh,Douglas Silva de Andrade vs. Javier Reyes,Round 1,Douglas Silva de Andrade,17,27,62.0,19,29,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Douglas Silva de Andrade vs. Javier Reyes,Round 1,Javier Reyes,46,75,61.0,87,125,1,2,50.0
UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin vs. Ernesta Kareckaite,Round 1,Regina Tarin,37,79,46.0,39,81,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin vs. Ernesta Kareckaite,Round 2,Regina Tarin,31,68,45.0,35,72,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin vs. Ernesta Kareckaite,Round 3,Regina Tarin,46,92,50.0,51,97,1,3,33.0
UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin vs. Ernesta Kareckaite,Round 1,Ernesta Kareckaite,33,82,40.0,39,90,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin vs. Ernesta Kareckaite,Round 2,Ernesta Kareckaite,32,70,45.0,36,75,1,2,50.0
UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin vs. Ernesta Kareckaite,Round 3,Ernesta Kareckaite,40,97,41.0,52,114,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Erik Silva vs. Francis Marshall,Round 1,Erik Silva,5,9,55.0,5,9,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Erik Silva vs. Francis Marshall,Round 1,Francis Marshall,3,5,60.0,10,13,1,2,50.0
UFC Fight Night: Moreno vs. Kavanagh,Damian Pinas vs. Wes Schultz,Round 1,Damian Pinas,15,23,65.0,22,30,0,0,
UFC Fight Night: Moreno vs. Kavanagh,Damian Pinas vs. Wes Schultz,Round 1,Wes Schultz,3,13,23.0,5,16,0,6,0.0
UFC Fight Night: Strickland vs. Hernandez,Sean Strickland vs. Anthony Hernandez,Round 1,Sean Strickland,32,90,35.0,33,91,0,0,
UFC Fight Night: Strickland vs. Hernandez,Sean Strickland vs. Anthony Hernandez,Round 2,Sean Strickland,37,79,46.0,37,79,0,0,
UFC Fight Night: Strickland vs. Hernandez,Sean Strickland vs. Anthony Hernandez,Round 3,Sean Strickland,41,72,56.0,41,72,0,0,
UFC Fight Night: Strickland vs. Hernandez,Sean Strickland vs. Anthony Hernandez,Round 1,Anthony Hernandez,23,48,47.0,23,48,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Sean Strickland vs. Anthony Hernandez,Round 2,Anthony Hernandez,23,47,48.0,23,47,0,0,
UFC Fight Night: Strickland vs. Hernandez,Sean Strickland vs. Anthony Hernandez,Round 3,Anthony Hernandez,9,27,33.0,11,29,0,0,
UFC Fight Night: Strickland vs. Hernandez,Geoff Neal vs. Uros Medic,Round 1,Geoff Neal,3,10,30.0,3,10,0,0,
UFC Fight Night: Strickland vs. Hernandez,Geoff Neal vs. Uros Medic,Round 1,Uros Medic,10,19,52.0,10,19,0,0,
UFC Fight Night: Strickland vs. Hernandez,Dan Ige vs. Melquizael Costa,Round 1,Dan Ige,7,11,63.0,12,16,1,3,33.0
UFC Fight Night: Strickland vs. Hernandez,Dan Ige vs. Melquizael Costa,Round 1,Melquizael Costa,19,40,47.0,26,48,1,1,100.0
UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac vs. Ante Delija,Round 1,Serghei Spivac,20,46,43.0,20,46,0,0,
UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac vs. Ante Delija,Round 2,Serghei Spivac,20,41,48.0,34,55,0,0,
UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac vs. Ante Delija,Round 3,Serghei Spivac,27,62,43.0,48,84,1,4,25.0
UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac vs. Ante Delija,Round 1,Ante Delija,19,58,32.0,19,58,0,0,
UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac vs. Ante Delija,Round 2,Ante Delija,26,63,41.0,26,64,0,0,
UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac vs. Ante Delija,Round 3,Ante Delija,16,51,31.0,16,51,0,0,
UFC Fight Night: Strickland vs. Hernandez,Jacobe Smith vs. Josiah Harrell,Round 1,Jacobe Smith,33,47,70.0,37,51,2,2,100.0
UFC Fight Night: Strickland vs. Hernandez,Jacobe Smith vs. Josiah Harrell,Round 1,Josiah Harrell,7,14,50.0,7,14,0,2,0.0
UFC Fight Night: Strickland vs. Hernandez,Zach Reese vs. Michel Pereira,Round 1,Zach Reese,23,51,45.0,26,56,0,0,
UFC Fight Night: Strickland vs. Hernandez,Zach Reese vs. Michel Pereira,Round 2,Zach Reese,24,44,54.0,28,49,1,1,100.0
UFC Fight Night: Strickland vs. Hernandez,Zach Reese vs. Michel Pereira,Round 3,Zach Reese,27,53,50.0,27,55,0,2,0.0
UFC Fight Night: Strickland vs. Hernandez,Zach Reese vs. Michel Pereira,Round 1,Michel Pereira,18,40,45.0,25,47,1,1,100.0
UFC Fight Night: Strickland vs. Hernandez,Zach Reese vs. Michel Pereira,Round 2,Michel Pereira,22,42,52.0,22,42,0,0,
UFC Fight Night: Strickland vs. Hernandez,Zach Reese vs. Michel Pereira,Round 3,Michel Pereira,23,50,46.0,23,50,1,1,100.0
UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani vs. Carlos Leal,Round 1,Chidi Njokuani,46,70,65.0,46,70,0,0,
UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani vs. Carlos Leal,Round 2,Chidi Njokuani,22,35,62.0,26,40,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani vs. Carlos Leal,Round 3,Chidi Njokuani,52,100,52.0,52,100,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani vs. Carlos Leal,Round 1,Carlos Leal,60,131,45.0,60,131,0,0,
UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani vs. Carlos Leal,Round 2,Carlos Leal,5,20,25.0,16,31,0,4,0.0
UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani vs. Carlos Leal,Round 3,Carlos Leal,50,125,40.0,50,125,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne vs. Alibi Idiris,Round 1,Ode Osbourne,8,26,30.0,8,27,0,0,
UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne vs. Alibi Idiris,Round 2,Ode Osbourne,14,33,42.0,15,34,0,0,
UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne vs. Alibi Idiris,Round 3,Ode Osbourne,10,31,32.0,25,46,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne vs. Alibi Idiris,Round 1,Alibi Idiris,12,30,40.0,19,37,1,6,16.0
UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne vs. Alibi Idiris,Round 2,Alibi Idiris,7,23,30.0,19,41,2,5,40.0
UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne vs. Alibi Idiris,Round 3,Alibi Idiris,11,22,50.0,24,39,2,4,50.0
UFC Fight Night: Strickland vs. Hernandez,Alden Coria vs. Luis Gurule,Round 1,Alden Coria,24,51,47.0,26,53,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Alden Coria vs. Luis Gurule,Round 2,Alden Coria,22,51,43.0,29,58,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Alden Coria vs. Luis Gurule,Round 3,Alden Coria,33,73,45.0,41,82,1,2,50.0
UFC Fight Night: Strickland vs. Hernandez,Alden Coria vs. Luis Gurule,Round 1,Luis Gurule,11,33,33.0,15,37,0,0,
UFC Fight Night: Strickland vs. Hernandez,Alden Coria vs. Luis Gurule,Round 2,Luis Gurule,12,38,31.0,13,40,1,2,50.0
UFC Fight Night: Strickland vs. Hernandez,Alden Coria vs. Luis Gurule,Round 3,Luis Gurule,27,79,34.0,31,92,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Nora Cornolle vs. Joselyne Edwards,Round 1,Nora Cornolle,16,29,55.0,28,46,0,0,
UFC Fight Night: Strickland vs. Hernandez,Nora Cornolle vs. Joselyne Edwards,Round 2,Nora Cornolle,4,6,66.0,9,12,0,0,
UFC Fight Night: Strickland vs. Hernandez,Nora Cornolle vs. Joselyne Edwards,Round 1,Joselyne Edwards,5,13,38.0,26,39,0,2,0.0
UFC Fight Night: Strickland vs. Hernandez,Nora Cornolle vs. Joselyne Edwards,Round 2,Joselyne Edwards,14,17,82.0,18,24,2,2,100.0
UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj vs. Punahele Soriano,Round 1,Ramiz Brahimaj,31,56,55.0,31,56,0,1,0.0
UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj vs. Punahele Soriano,Round 2,Ramiz Brahimaj,5,7,71.0,10,12,2,6,33.0
UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj vs. Punahele Soriano,Round 3,Ramiz Brahimaj,2,4,50.0,2,5,1,4,25.0
UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj vs. Punahele Soriano,Round 1,Punahele Soriano,17,52,32.0,21,59,0,0,
UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj vs. Punahele Soriano,Round 2,Punahele Soriano,7,12,58.0,26,32,1,1,100.0
UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj vs. Punahele Soriano,Round 3,Punahele Soriano,16,28,57.0,19,32,2,3,66.0
UFC Fight Night: Strickland vs. Hernandez,Phil Rowe vs. Jean-Paul Lebosnoyani,Round 1,Phil Rowe,14,26,53.0,15,27,0,0,
UFC Fight Night: Strickland vs. Hernandez,Phil Rowe vs. Jean-Paul Lebosnoyani,Round 2,Phil Rowe,16,31,51.0,20,36,0,0,
UFC Fight Night: Strickland vs. Hernandez,Phil Rowe vs. Jean-Paul Lebosnoyani,Round 3,Phil Rowe,24,54,44.0,24,54,0,0,
UFC Fight Night: Strickland vs. Hernandez,Phil Rowe vs. Jean-Paul Lebosnoyani,Round 1,Jean-Paul Lebosnoyani,32,38,84.0,43,53,1,4,25.0
UFC Fight Night: Strickland vs. Hernandez,Phil Rowe vs. Jean-Paul Lebosnoyani,Round 2,Jean-Paul Lebosnoyani,19,32,59.0,26,42,1,4,25.0
UFC Fight Night: Strickland vs. Hernandez,Phil Rowe vs. Jean-Paul Lebosnoyani,Round 3,Jean-Paul Lebosnoyani,15,41,36.0,15,41,1,1,100.0
UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt vs. Yadier del Valle,Round 1,Jordan Leavitt,7,14,50.0,20,33,3,4,75.0
UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt vs. Yadier del Valle,Round 2,Jordan Leavitt,7,19,36.0,15,33,0,2,0.0
UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt vs. Yadier del Valle,Round 3,Jordan Leavitt,3,12,25.0,10,20,1,2,50.0
UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt vs. Yadier del Valle,Round 1,Yadier del Valle,3,7,42.0,32,38,0,0,
UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt vs. Yadier del Valle,Round 2,Yadier del Valle,5,17,29.0,10,23,0,0,
UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt vs. Yadier del Valle,Round 3,Yadier del Valle,5,18,27.0,34,51,0,0,
UFC Fight Night: Strickland vs. Hernandez,Juliana Miller vs. Carli Judice,Round 1,Juliana Miller,10,25,40.0,15,32,1,4,25.0
UFC Fight Night: Strickland vs. Hernandez,Juliana Miller vs. Carli Judice,Round 2,Juliana Miller,17,58,29.0,18,61,0,5,0.0
